"sampleNo","DateTime","pressure_kPa","temp","water_level","transect","plot","tidal"
369,2023-03-10 22:54:00,108.701,21.282,-0.258,"Old","3","intertidal"
371,2023-03-10 23:09:00,108.68,21.282,-0.259,"Old","3","intertidal"
372,2023-03-10 23:24:00,108.67,21.282,-0.259,"Old","3","intertidal"
373,2023-03-10 23:39:00,108.616,21.282,-0.264,"Old","3","intertidal"
374,2023-03-10 23:54:00,108.584,21.282,-0.267,"Old","3","intertidal"
376,2023-03-11 00:09:00,108.584,21.282,-0.266,"Old","3","intertidal"
377,2023-03-11 00:24:00,108.563,21.282,-0.268,"Old","3","intertidal"
378,2023-03-11 00:39:00,108.552,21.282,-0.268,"Old","3","intertidal"
379,2023-03-11 00:54:00,108.542,21.282,-0.269,"Old","3","intertidal"
381,2023-03-11 01:09:00,108.531,21.282,-0.27,"Old","3","intertidal"
382,2023-03-11 01:24:00,108.51,21.282,-0.274,"Old","3","intertidal"
383,2023-03-11 01:39:00,108.499,21.282,-0.276,"Old","3","intertidal"
384,2023-03-11 01:54:00,108.456,21.282,-0.281,"Old","3","intertidal"
386,2023-03-11 02:09:00,108.435,21.282,-0.284,"Old","3","intertidal"
387,2023-03-11 02:24:00,108.403,21.282,-0.288,"Old","3","intertidal"
388,2023-03-11 02:39:00,108.361,21.282,-0.293,"Old","3","intertidal"
389,2023-03-11 02:54:00,108.339,21.282,-0.296,"Old","3","intertidal"
391,2023-03-11 03:09:00,108.297,21.282,-0.301,"Old","3","intertidal"
392,2023-03-11 03:24:00,108.243,21.282,-0.307,"Old","3","intertidal"
393,2023-03-11 03:39:00,108.222,21.282,-0.309,"Old","3","intertidal"
394,2023-03-11 03:54:00,108.201,21.282,-0.312,"Old","3","intertidal"
396,2023-03-11 04:09:00,108.18,21.282,-0.313,"Old","3","intertidal"
397,2023-03-11 04:24:00,108.148,21.282,-0.315,"Old","3","intertidal"
398,2023-03-11 04:39:00,108.137,21.282,-0.315,"Old","3","intertidal"
399,2023-03-11 04:54:00,108.105,21.282,-0.318,"Old","3","intertidal"
401,2023-03-11 05:09:00,108.073,21.282,-0.321,"Old","3","intertidal"
402,2023-03-11 05:24:00,108.052,21.282,-0.324,"Old","3","intertidal"
403,2023-03-11 05:39:00,108.041,21.282,-0.325,"Old","3","intertidal"
404,2023-03-11 05:54:00,108.009,21.282,-0.329,"Old","3","intertidal"
406,2023-03-11 06:09:00,108.009,21.282,-0.329,"Old","3","intertidal"
407,2023-03-11 06:24:00,108.009,21.282,-0.328,"Old","3","intertidal"
408,2023-03-11 06:39:00,107.998,21.282,-0.329,"Old","3","intertidal"
409,2023-03-11 06:54:00,107.998,21.282,-0.328,"Old","3","intertidal"
411,2023-03-11 07:09:00,108.009,21.282,-0.326,"Old","3","intertidal"
412,2023-03-11 07:24:00,108.009,21.282,-0.325,"Old","3","intertidal"
413,2023-03-11 07:39:00,108.03,21.282,-0.321,"Old","3","intertidal"
414,2023-03-11 07:54:00,108.052,21.282,-0.317,"Old","3","intertidal"
416,2023-03-11 08:09:00,108.105,21.282,-0.31,"Old","3","intertidal"
417,2023-03-11 08:24:00,108.169,21.282,-0.302,"Old","3","intertidal"
418,2023-03-11 08:39:00,108.222,21.282,-0.295,"Old","3","intertidal"
419,2023-03-11 08:54:00,108.265,21.282,-0.289,"Old","3","intertidal"
421,2023-03-11 09:09:00,108.307,21.282,-0.284,"Old","3","intertidal"
422,2023-03-11 09:24:00,108.371,21.282,-0.277,"Old","3","intertidal"
423,2023-03-11 09:39:00,108.431,21.187,-0.271,"Old","3","intertidal"
424,2023-03-11 09:54:00,108.494,21.187,-0.264,"Old","3","intertidal"
425,2023-03-11 10:09:00,108.569,21.187,-0.256,"Old","3","intertidal"
426,2023-03-11 10:24:00,108.622,21.187,-0.25,"Old","3","intertidal"
427,2023-03-11 10:39:00,108.665,21.187,-0.245,"Old","3","intertidal"
428,2023-03-11 10:54:00,108.718,21.187,-0.24,"Old","3","intertidal"
430,2023-03-11 11:09:00,108.761,21.187,-0.235,"Old","3","intertidal"
431,2023-03-11 11:24:00,108.808,21.282,-0.231,"Old","3","intertidal"
432,2023-03-11 11:39:00,108.861,21.282,-0.225,"Old","3","intertidal"
433,2023-03-11 11:54:00,108.872,21.282,-0.225,"Old","3","intertidal"
435,2023-03-11 12:09:00,108.883,21.282,-0.223,"Old","3","intertidal"
436,2023-03-11 12:24:00,108.883,21.282,-0.223,"Old","3","intertidal"
437,2023-03-11 12:39:00,108.872,21.282,-0.224,"Old","3","intertidal"
438,2023-03-11 12:54:00,108.904,21.282,-0.22,"Old","3","intertidal"
440,2023-03-11 13:09:00,108.925,21.282,-0.219,"Old","3","intertidal"
441,2023-03-11 13:24:00,108.936,21.282,-0.218,"Old","3","intertidal"
442,2023-03-11 13:39:00,108.915,21.282,-0.221,"Old","3","intertidal"
443,2023-03-11 13:54:00,108.925,21.282,-0.22,"Old","3","intertidal"
445,2023-03-11 14:09:00,108.925,21.282,-0.22,"Old","3","intertidal"
446,2023-03-11 14:24:00,108.947,21.282,-0.217,"Old","3","intertidal"
447,2023-03-11 14:39:00,108.957,21.282,-0.216,"Old","3","intertidal"
448,2023-03-11 14:54:00,108.989,21.282,-0.212,"Old","3","intertidal"
450,2023-03-11 15:09:00,109.021,21.282,-0.208,"Old","3","intertidal"
451,2023-03-11 15:24:00,109.042,21.282,-0.206,"Old","3","intertidal"
452,2023-03-11 15:39:00,109.053,21.282,-0.205,"Old","3","intertidal"
453,2023-03-11 15:54:00,109.096,21.282,-0.201,"Old","3","intertidal"
455,2023-03-11 16:09:00,109.128,21.282,-0.197,"Old","3","intertidal"
456,2023-03-11 16:24:00,109.16,21.282,-0.193,"Old","3","intertidal"
457,2023-03-11 16:39:00,109.219,21.187,-0.187,"Old","3","intertidal"
458,2023-03-11 16:54:00,109.261,21.187,-0.182,"Old","3","intertidal"
460,2023-03-11 17:09:00,109.325,21.187,-0.174,"Old","3","intertidal"
461,2023-03-11 17:24:00,109.357,21.187,-0.169,"Old","3","intertidal"
462,2023-03-11 17:39:00,109.4,21.187,-0.164,"Old","3","intertidal"
463,2023-03-11 17:54:00,109.411,21.187,-0.161,"Old","3","intertidal"
465,2023-03-11 18:09:00,109.475,21.187,-0.153,"Old","3","intertidal"
466,2023-03-11 18:24:00,109.496,21.187,-0.149,"Old","3","intertidal"
467,2023-03-11 18:39:00,109.517,21.187,-0.145,"Old","3","intertidal"
468,2023-03-11 18:54:00,109.549,21.187,-0.14,"Old","3","intertidal"
469,2023-03-11 19:09:00,109.533,21.282,-0.14,"Old","3","intertidal"
470,2023-03-11 19:24:00,109.554,21.282,-0.136,"Old","3","intertidal"
471,2023-03-11 19:39:00,109.564,21.282,-0.134,"Old","3","intertidal"
472,2023-03-11 19:54:00,109.586,21.282,-0.13,"Old","3","intertidal"
474,2023-03-11 20:09:00,109.624,21.187,-0.124,"Old","3","intertidal"
475,2023-03-11 20:24:00,109.596,21.282,-0.126,"Old","3","intertidal"
476,2023-03-11 20:39:00,109.586,21.282,-0.125,"Old","3","intertidal"
477,2023-03-11 20:54:00,109.575,21.282,-0.125,"Old","3","intertidal"
479,2023-03-11 21:09:00,109.575,21.282,-0.124,"Old","3","intertidal"
480,2023-03-11 21:24:00,109.575,21.282,-0.123,"Old","3","intertidal"
481,2023-03-11 21:39:00,109.564,21.282,-0.124,"Old","3","intertidal"
482,2023-03-11 21:54:00,109.575,21.282,-0.122,"Old","3","intertidal"
484,2023-03-11 22:09:00,109.586,21.282,-0.121,"Old","3","intertidal"
485,2023-03-11 22:24:00,109.607,21.282,-0.118,"Old","3","intertidal"
486,2023-03-11 22:39:00,109.596,21.282,-0.119,"Old","3","intertidal"
487,2023-03-11 22:54:00,109.575,21.282,-0.12,"Old","3","intertidal"
489,2023-03-11 23:09:00,109.533,21.282,-0.124,"Old","3","intertidal"
490,2023-03-11 23:24:00,109.522,21.282,-0.125,"Old","3","intertidal"
491,2023-03-11 23:39:00,109.49,21.282,-0.127,"Old","3","intertidal"
492,2023-03-11 23:54:00,109.501,21.282,-0.126,"Old","3","intertidal"
494,2023-03-12 00:09:00,109.479,21.282,-0.128,"Old","3","intertidal"
495,2023-03-12 00:24:00,109.469,21.282,-0.128,"Old","3","intertidal"
496,2023-03-12 00:39:00,109.437,21.282,-0.131,"Old","3","intertidal"
497,2023-03-12 00:54:00,109.415,21.282,-0.133,"Old","3","intertidal"
499,2023-03-12 01:09:00,109.383,21.282,-0.136,"Old","3","intertidal"
500,2023-03-12 01:24:00,109.341,21.282,-0.138,"Old","3","intertidal"
501,2023-03-12 01:39:00,109.298,21.282,-0.141,"Old","3","intertidal"
502,2023-03-12 01:54:00,109.255,21.282,-0.144,"Old","3","intertidal"
504,2023-03-12 02:09:00,109.219,21.187,-0.148,"Old","3","intertidal"
505,2023-03-12 02:24:00,109.166,21.187,-0.154,"Old","3","intertidal"
506,2023-03-12 02:39:00,109.134,21.187,-0.157,"Old","3","intertidal"
507,2023-03-12 02:54:00,109.123,21.187,-0.159,"Old","3","intertidal"
509,2023-03-12 03:09:00,109.102,21.187,-0.162,"Old","3","intertidal"
510,2023-03-12 03:24:00,109.07,21.187,-0.165,"Old","3","intertidal"
511,2023-03-12 03:39:00,109.027,21.187,-0.17,"Old","3","intertidal"
512,2023-03-12 03:54:00,108.995,21.187,-0.173,"Old","3","intertidal"
514,2023-03-12 04:09:00,108.953,21.187,-0.177,"Old","3","intertidal"
515,2023-03-12 04:24:00,108.953,21.187,-0.176,"Old","3","intertidal"
516,2023-03-12 04:39:00,108.899,21.187,-0.181,"Old","3","intertidal"
517,2023-03-12 04:54:00,108.878,21.187,-0.183,"Old","3","intertidal"
518,2023-03-12 05:09:00,108.857,21.187,-0.184,"Old","3","intertidal"
519,2023-03-12 05:24:00,108.835,21.187,-0.186,"Old","3","intertidal"
520,2023-03-12 05:39:00,108.793,21.187,-0.19,"Old","3","intertidal"
521,2023-03-12 05:54:00,108.761,21.187,-0.192,"Old","3","intertidal"
523,2023-03-12 06:09:00,108.771,21.187,-0.19,"Old","3","intertidal"
524,2023-03-12 06:24:00,108.761,21.187,-0.19,"Old","3","intertidal"
525,2023-03-12 06:39:00,108.718,21.187,-0.193,"Old","3","intertidal"
526,2023-03-12 06:54:00,108.729,21.187,-0.191,"Old","3","intertidal"
527,2023-03-12 07:09:00,108.729,21.187,-0.19,"Old","3","intertidal"
528,2023-03-12 07:24:00,108.739,21.187,-0.188,"Old","3","intertidal"
529,2023-03-12 07:39:00,108.75,21.187,-0.186,"Old","3","intertidal"
530,2023-03-12 07:54:00,108.793,21.187,-0.18,"Old","3","intertidal"
532,2023-03-12 08:09:00,108.857,21.187,-0.172,"Old","3","intertidal"
533,2023-03-12 08:24:00,108.921,21.187,-0.165,"Old","3","intertidal"
534,2023-03-12 08:39:00,108.984,21.187,-0.157,"Old","3","intertidal"
535,2023-03-12 08:54:00,109.059,21.187,-0.149,"Old","3","intertidal"
537,2023-03-12 09:09:00,109.123,21.187,-0.141,"Old","3","intertidal"
538,2023-03-12 09:24:00,109.986,21.187,-0.052,"Old","3","intertidal"
539,2023-03-12 09:39:00,110.157,21.187,-0.033,"Old","3","intertidal"
540,2023-03-12 09:54:00,110.615,21.187,0.014,"Old","3","intertidal"
542,2023-03-12 10:09:00,110.828,21.187,0.037,"Old","3","intertidal"
543,2023-03-12 10:24:00,110.892,21.187,0.045,"Old","3","intertidal"
544,2023-03-12 10:39:00,110.998,21.187,0.057,"Old","3","intertidal"
545,2023-03-12 10:54:00,111.233,21.187,0.082,"Old","3","intertidal"
547,2023-03-12 11:09:00,111.35,21.187,0.094,"Old","3","intertidal"
548,2023-03-12 11:24:00,111.371,21.187,0.097,"Old","3","intertidal"
549,2023-03-12 11:39:00,111.361,21.187,0.096,"Old","3","intertidal"
550,2023-03-12 11:54:00,111.339,21.187,0.094,"Old","3","intertidal"
552,2023-03-12 12:09:00,111.329,21.187,0.092,"Old","3","intertidal"
553,2023-03-12 12:24:00,111.307,21.187,0.088,"Old","3","intertidal"
554,2023-03-12 12:39:00,111.297,21.187,0.085,"Old","3","intertidal"
555,2023-03-12 12:54:00,111.244,21.187,0.078,"Old","3","intertidal"
557,2023-03-12 13:09:00,111.201,21.187,0.072,"Old","3","intertidal"
558,2023-03-12 13:24:00,111.158,21.187,0.065,"Old","3","intertidal"
559,2023-03-12 13:39:00,111.137,21.187,0.061,"Old","3","intertidal"
560,2023-03-12 13:54:00,111.084,21.187,0.053,"Old","3","intertidal"
562,2023-03-12 14:09:00,111.041,21.187,0.047,"Old","3","intertidal"
563,2023-03-12 14:24:00,111.03,21.187,0.045,"Old","3","intertidal"
564,2023-03-12 14:39:00,110.988,21.187,0.04,"Old","3","intertidal"
565,2023-03-12 14:54:00,110.945,21.187,0.034,"Old","3","intertidal"
567,2023-03-12 15:09:00,110.871,21.187,0.026,"Old","3","intertidal"
568,2023-03-12 15:24:00,110.807,21.187,0.019,"Old","3","intertidal"
569,2023-03-12 15:39:00,110.785,21.187,0.016,"Old","3","intertidal"
570,2023-03-12 15:54:00,110.753,21.187,0.012,"Old","3","intertidal"
572,2023-03-12 16:09:00,110.7,21.187,0.006,"Old","3","intertidal"
573,2023-03-12 16:24:00,110.657,21.187,0,"Old","3","intertidal"
574,2023-03-12 16:39:00,110.636,21.187,-0.003,"Old","3","intertidal"
575,2023-03-12 16:54:00,110.572,21.187,-0.01,"Old","3","intertidal"
577,2023-03-12 17:09:00,110.551,21.187,-0.011,"Old","3","intertidal"
578,2023-03-12 17:24:00,110.498,21.187,-0.015,"Old","3","intertidal"
579,2023-03-12 17:39:00,110.476,21.187,-0.015,"Old","3","intertidal"
580,2023-03-12 17:54:00,110.466,21.187,-0.014,"Old","3","intertidal"
581,2023-03-12 18:09:00,110.444,21.187,-0.015,"Old","3","intertidal"
582,2023-03-12 18:24:00,110.412,21.187,-0.016,"Old","3","intertidal"
583,2023-03-12 18:39:00,110.386,21.091,-0.017,"Old","3","intertidal"
584,2023-03-12 18:54:00,110.386,21.091,-0.015,"Old","3","intertidal"
586,2023-03-12 19:09:00,110.402,21.187,-0.012,"Old","3","intertidal"
587,2023-03-12 19:24:00,110.376,21.091,-0.013,"Old","3","intertidal"
588,2023-03-12 19:39:00,110.354,21.091,-0.013,"Old","3","intertidal"
589,2023-03-12 19:54:00,110.386,21.091,-0.008,"Old","3","intertidal"
591,2023-03-12 20:09:00,110.376,21.091,-0.008,"Old","3","intertidal"
592,2023-03-12 20:24:00,110.386,21.091,-0.005,"Old","3","intertidal"
593,2023-03-12 20:39:00,110.344,21.091,-0.008,"Old","3","intertidal"
594,2023-03-12 20:54:00,110.344,21.091,-0.007,"Old","3","intertidal"
596,2023-03-12 21:09:00,110.322,21.091,-0.009,"Old","3","intertidal"
597,2023-03-12 21:24:00,110.301,21.091,-0.011,"Old","3","intertidal"
598,2023-03-12 21:39:00,110.322,21.091,-0.008,"Old","3","intertidal"
599,2023-03-12 21:54:00,110.333,21.091,-0.007,"Old","3","intertidal"
601,2023-03-12 22:09:00,110.376,21.091,-0.003,"Old","3","intertidal"
602,2023-03-12 22:24:00,110.28,21.091,-0.013,"Old","3","intertidal"
603,2023-03-12 22:39:00,110.312,21.091,-0.01,"Old","3","intertidal"
604,2023-03-12 22:54:00,110.29,21.091,-0.013,"Old","3","intertidal"
606,2023-03-12 23:09:00,110.258,21.091,-0.018,"Old","3","intertidal"
607,2023-03-12 23:24:00,110.216,21.091,-0.023,"Old","3","intertidal"
608,2023-03-12 23:39:00,110.216,21.091,-0.025,"Old","3","intertidal"
609,2023-03-12 23:54:00,110.173,21.091,-0.031,"Old","3","intertidal"
610,2023-03-13 00:09:00,110.13,21.091,-0.036,"Old","3","intertidal"
611,2023-03-13 00:24:00,110.12,21.091,-0.039,"Old","3","intertidal"
612,2023-03-13 00:39:00,110.099,21.091,-0.042,"Old","3","intertidal"
613,2023-03-13 00:54:00,110.056,21.091,-0.048,"Old","3","intertidal"
615,2023-03-13 01:09:00,110.003,21.091,-0.055,"Old","3","intertidal"
616,2023-03-13 01:24:00,109.949,21.091,-0.063,"Old","3","intertidal"
617,2023-03-13 01:39:00,109.907,21.091,-0.069,"Old","3","intertidal"
618,2023-03-13 01:54:00,109.875,21.091,-0.075,"Old","3","intertidal"
620,2023-03-13 02:09:00,109.843,21.091,-0.082,"Old","3","intertidal"
621,2023-03-13 02:24:00,109.79,21.091,-0.092,"Old","3","intertidal"
622,2023-03-13 02:39:00,109.753,20.996,-0.1,"Old","3","intertidal"
623,2023-03-13 02:54:00,109.71,20.996,-0.109,"Old","3","intertidal"
625,2023-03-13 03:09:00,109.678,20.996,-0.115,"Old","3","intertidal"
626,2023-03-13 03:24:00,109.642,20.901,-0.12,"Old","3","intertidal"
627,2023-03-13 03:39:00,109.578,20.901,-0.127,"Old","3","intertidal"
628,2023-03-13 03:54:00,109.552,20.805,-0.131,"Old","3","intertidal"
630,2023-03-13 04:09:00,109.494,20.71,-0.139,"Old","3","intertidal"
631,2023-03-13 04:24:00,109.427,20.234,-0.149,"Old","3","intertidal"
632,2023-03-13 04:39:00,109.333,19.853,-0.161,"Old","3","intertidal"
