"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Cl",13542,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"SO4",2006,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"NH4",388,"UG/L","NUTRIENT","NUTRIENT",0.091,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"SRP",121,"UG/L","NUTRIENT","NUTRIENT",0.019,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Fe_II",0.015,"MG/L","TE","Hach",0.03,"<"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"P",13.88785165,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Ca",253.340659,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Mg",857.6269624,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Al_OES",0.5,"MG/L","TE","ICP-OES",1,"<"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"Na_OES",7880.921287,"MG/L","CATION","ICP-OES",1,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"K_OES",214.4845765,"MG/L","CATION","ICP-OES",4,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"CaMg",1110.9676214,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"pH",6.68,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"SpC",9380,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"ORP",-260,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"temp",15.3,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"DOC",21.16,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Cl",4414,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"SO4",95,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"NH4",1881,"UG/L","NUTRIENT","NUTRIENT",0.091,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"SRP",978,"UG/L","NUTRIENT","NUTRIENT",0.019,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Fe_II",0.015,"MG/L","TE","Hach",0.03,"<"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"P",10.26373176,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Ca",144.732516,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Mg",348.1376249,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Al_OES",0.5,"MG/L","TE","ICP-OES",1,"<"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"Na_OES",2951.659274,"MG/L","CATION","ICP-OES",1,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"K_OES",57.65549692,"MG/L","CATION","ICP-OES",4,"NONE"
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-6",2022-11-16,10H 32M 0S,"FB","brackish",1,"WI",40,2022,320,"CaMg",492.8701409,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"pH",7.07,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"SpC",16130,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"ORP",-285,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"temp",14,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"DOC",22.37,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Cl",5928,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"SO4",124,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"NH4",2546,"UG/L","NUTRIENT","NUTRIENT",0.091,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"SRP",855,"UG/L","NUTRIENT","NUTRIENT",0.019,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Fe_II",0.015,"MG/L","TE","Hach",0.03,"<"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"P",9.6510207,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Ca",139.9240576,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Mg",331.7874615,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Al_OES",0.5,"MG/L","TE","ICP-OES",1,"<"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"Na_OES",2796.351037,"MG/L","CATION","ICP-OES",1,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"K_OES",55.14584679,"MG/L","CATION","ICP-OES",4,"NONE"
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-7",2022-11-16,10H 44M 0S,"FB","brackish",1,"WI",40,2022,320,"CaMg",471.7115191,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"pH",6.86,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"SpC",17520,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"ORP",-267,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"temp",15.3,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"DOC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"NH4",1041,"UG/L","NUTRIENT","NUTRIENT",0.091,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"SRP",562,"UG/L","NUTRIENT","NUTRIENT",0.019,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"Fe_II",0.015,"MG/L","TE","Hach",0.03,"<"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"P",7.904507878,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"Ca",0.25,"MG/L","CATION","ICP-OES",0.5,"<"
"CoBRA2022-8",2022-11-16,11H 1M 0S,"FB","brackish",1,"WI",30,2022,320,"Mg",0.25,"MG/L","CATION","ICP-OES",0.5,"<"
